epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.3318,1.9781,5.22896,0.02242,0.09056,0.17097,0.02973,0.00769,2.07433,4.93632,0.03413,0.00033033,0.00033033,0.0672973
2,110.356,1.76035,3.13139,0.01877,0.34755,0.19023,0.19228,0.08107,1.72963,2.94641,0.02713,0.000663516,0.000663516,0.0342971
3,153.889,1.72391,2.77073,0.0183,0.30974,0.36616,0.26679,0.10303,1.72916,2.57519,0.02713,0.000996112,0.000996112,0.00129641
4,198.441,1.72023,2.56406,0.01842,0.3507,0.39288,0.32211,0.14191,1.67164,2.37512,0.02609,0.000998003,0.000998003,0.000998003
5,242.396,1.69887,2.37595,0.01807,0.43506,0.43346,0.39347,0.1764,1.68005,2.20782,0.02552,0.000996452,0.000996452,0.000996452
6,286.824,1.71592,2.26897,0.01816,0.43903,0.47432,0.43038,0.20794,1.71425,2.0365,0.02621,0.00099446,0.00099446,0.00099446
7,331.194,1.68086,2.13486,0.01773,0.49905,0.52366,0.50399,0.24352,1.62247,1.96287,0.02438,0.000992029,0.000992029,0.000992029
8,375.238,1.70009,2.03228,0.01801,0.49268,0.50722,0.49319,0.24625,1.60446,1.92017,0.02475,0.000989163,0.000989163,0.000989163
9,419.589,1.6861,1.97247,0.01768,0.54648,0.53496,0.53082,0.26745,1.66636,1.76167,0.02614,0.000985862,0.000985862,0.000985862
10,463.974,1.69142,1.8816,0.01795,0.5871,0.57413,0.58942,0.29413,1.62372,1.72588,0.02462,0.000982132,0.000982132,0.000982132
11,508.298,1.6849,1.81838,0.01772,0.59283,0.5353,0.58126,0.29568,1.60313,1.71197,0.02435,0.000977975,0.000977975,0.000977975
12,552.577,1.65659,1.7912,0.01729,0.57515,0.61219,0.61108,0.31336,1.608,1.6214,0.02468,0.000973396,0.000973396,0.000973396
13,596.941,1.67018,1.74079,0.01748,0.56222,0.60718,0.60337,0.31556,1.60549,1.57776,0.02419,0.000968399,0.000968399,0.000968399
14,641.258,1.65266,1.67636,0.01716,0.69424,0.56097,0.64823,0.34059,1.60271,1.52546,0.02422,0.00096299,0.00096299,0.00096299
15,685.51,1.65253,1.60312,0.01721,0.63491,0.58604,0.61642,0.31808,1.62346,1.52887,0.02471,0.000957172,0.000957172,0.000957172
16,729.691,1.63774,1.58999,0.01673,0.64649,0.63129,0.6751,0.35712,1.58972,1.37241,0.02386,0.000950953,0.000950953,0.000950953
17,774.261,1.63629,1.5329,0.017,0.64729,0.60669,0.63602,0.32866,1.63845,1.49468,0.02465,0.000944338,0.000944338,0.000944338
