epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3063.81,2.10829,1.83439,2.17321,0.69214,0.62649,0.68657,0.35095,2.00247,1.52327,2.18747,0.000959156,0.000959156,0.000959156
43,3136.07,2.09347,1.82657,2.15205,0.68997,0.6641,0.70502,0.36839,2.0058,1.46912,2.15706,0.000957172,0.000957172,0.000957172
44,3208.87,2.08365,1.81814,2.16514,0.70093,0.67416,0.73035,0.3821,1.9704,1.47622,2.15311,0.000955143,0.000955143,0.000955143
45,3280.93,2.0859,1.76903,2.15766,0.68711,0.651,0.70118,0.36786,2.01665,1.50153,2.18203,0.00095307,0.00095307,0.00095307
46,3355.22,2.09902,1.78324,2.16056,0.70697,0.68198,0.72663,0.389,1.9802,1.4233,2.14288,0.000950953,0.000950953,0.000950953
47,3429.29,2.10811,1.80061,2.16829,0.6924,0.62571,0.7064,0.37882,1.97929,1.47106,2.15358,0.000948792,0.000948792,0.000948792
48,3501.83,2.07231,1.7716,2.13924,0.72539,0.67143,0.73173,0.39509,1.9759,1.41263,2.13607,0.000946587,0.000946587,0.000946587
49,3574.21,2.06955,1.76416,2.14828,0.74006,0.65594,0.72382,0.38645,1.95191,1.40678,2.1199,0.000944338,0.000944338,0.000944338
50,3646.27,2.10259,1.75965,2.15469,0.73191,0.66722,0.73586,0.40006,1.95127,1.39101,2.13407,0.000942046,0.000942046,0.000942046
51,3718.41,2.05826,1.72355,2.12434,0.70914,0.683,0.73398,0.38627,1.97609,1.38066,2.15419,0.000939711,0.000939711,0.000939711
52,3790.61,2.05996,1.74194,2.1202,0.73272,0.67336,0.7353,0.39335,1.97621,1.38202,2.12663,0.000937334,0.000937334,0.000937334
53,3863.23,2.05365,1.71412,2.11936,0.75107,0.67065,0.73878,0.39344,1.97703,1.39482,2.12236,0.000934914,0.000934914,0.000934914
54,3935.57,2.05359,1.71358,2.10962,0.69361,0.69447,0.70946,0.38598,1.96032,1.38548,2.10206,0.000932452,0.000932452,0.000932452
55,4008.06,2.05013,1.70958,2.11783,0.73316,0.70893,0.7556,0.40298,2.01149,1.34228,2.13774,0.000929948,0.000929948,0.000929948
56,4080.87,2.03991,1.7099,2.11663,0.65894,0.68438,0.70507,0.37033,2.02668,1.4439,2.17291,0.000927402,0.000927402,0.000927402
57,4153.06,2.05282,1.72199,2.11682,0.70278,0.70024,0.73089,0.39522,1.96287,1.3983,2.11098,0.000924815,0.000924815,0.000924815
58,4225.79,2.05035,1.70982,2.10419,0.75175,0.64867,0.73697,0.38789,1.98905,1.36384,2.13484,0.000922186,0.000922186,0.000922186
59,4298.12,2.03407,1.7043,2.09935,0.76202,0.65543,0.73582,0.39923,1.96537,1.35589,2.1083,0.000919517,0.000919517,0.000919517
60,4370.51,2.03206,1.6649,2.11132,0.73822,0.72191,0.76469,0.41188,1.97711,1.29589,2.11192,0.000916808,0.000916808,0.000916808
61,4442.85,2.01969,1.64823,2.07575,0.75408,0.68595,0.76123,0.41313,1.96727,1.31595,2.09559,0.000914058,0.000914058,0.000914058
62,4515.3,2.01837,1.66047,2.08876,0.72735,0.72204,0.76922,0.4133,1.97335,1.28486,2.11063,0.000911268,0.000911268,0.000911268
63,4587.59,1.99671,1.63327,2.07241,0.71677,0.71813,0.76233,0.41369,1.97486,1.28403,2.09774,0.000908438,0.000908438,0.000908438
64,4659.97,2.01785,1.66035,2.0899,0.71837,0.71357,0.75811,0.4067,1.99323,1.289,2.12383,0.00090557,0.00090557,0.00090557
65,4732.31,2.02377,1.64229,2.0929,0.75538,0.69334,0.7573,0.41137,1.9764,1.27947,2.10469,0.000902662,0.000902662,0.000902662
66,4804.85,2.00629,1.65218,2.06913,0.7672,0.69751,0.77642,0.42029,1.94932,1.25386,2.06995,0.000899716,0.000899716,0.000899716
67,4877.05,2.00319,1.63701,2.06638,0.75221,0.72289,0.77615,0.4179,1.94844,1.27554,2.09405,0.000896731,0.000896731,0.000896731
68,4949.52,1.98212,1.59733,2.0596,0.74568,0.68672,0.76048,0.42228,1.92619,1.2637,2.0581,0.000893708,0.000893708,0.000893708
69,5021.94,2.00176,1.61497,2.07806,0.77637,0.67835,0.7549,0.40877,1.95743,1.27546,2.08285,0.000890648,0.000890648,0.000890648
70,5094.12,2.00415,1.58165,2.06584,0.75162,0.69283,0.76028,0.40679,1.95396,1.28888,2.07293,0.00088755,0.00088755,0.00088755
71,5166.69,1.98274,1.59163,2.04994,0.74532,0.68892,0.7592,0.41504,1.9543,1.29603,2.09214,0.000884415,0.000884415,0.000884415
72,5238.95,2.00056,1.61497,2.06912,0.75672,0.69423,0.75897,0.41339,1.92695,1.26847,2.05742,0.000881244,0.000881244,0.000881244
73,5311.22,1.99764,1.60538,2.06332,0.73154,0.7371,0.76345,0.41563,1.92927,1.26563,2.05587,0.000878036,0.000878036,0.000878036
74,5383.74,1.97319,1.57108,2.04511,0.75002,0.71031,0.76336,0.41979,1.94066,1.25735,2.06891,0.000874792,0.000874792,0.000874792
75,5456.29,1.98305,1.5746,2.04991,0.77238,0.70047,0.77628,0.42536,1.92637,1.24601,2.06204,0.000871513,0.000871513,0.000871513
76,5528.61,1.98537,1.5617,2.04556,0.74609,0.71172,0.76415,0.41743,1.95603,1.24349,2.06747,0.000868198,0.000868198,0.000868198
77,5600.95,1.9826,1.5638,2.04872,0.75263,0.72163,0.77795,0.42336,1.93045,1.21705,2.05333,0.000864849,0.000864849,0.000864849
78,5673.21,1.97732,1.5687,2.04745,0.74082,0.71234,0.76274,0.41322,1.95662,1.26021,2.07603,0.000861464,0.000861464,0.000861464
79,5745.8,1.95507,1.55424,2.03461,0.77397,0.71283,0.78767,0.43225,1.95379,1.20639,2.06362,0.000858046,0.000858046,0.000858046
80,5818.52,1.96579,1.54241,2.03971,0.76359,0.70504,0.77787,0.4232,1.97252,1.21754,2.07749,0.000854594,0.000854594,0.000854594
81,5891.17,1.95252,1.54926,2.04568,0.74996,0.72997,0.78072,0.4301,1.95353,1.20631,2.08384,0.000851109,0.000851109,0.000851109
82,5965.67,1.98188,1.56553,2.05344,0.78807,0.73597,0.79648,0.43898,1.92038,1.17909,2.0387,0.00084759,0.00084759,0.00084759
83,6038.05,1.95571,1.51879,2.04158,0.73509,0.72133,0.76392,0.41998,1.94497,1.19692,2.07182,0.000844039,0.000844039,0.000844039
84,6112.54,1.94315,1.52754,2.02197,0.74043,0.72111,0.77061,0.42076,1.94377,1.21811,2.05319,0.000840456,0.000840456,0.000840456
85,6184.94,1.955,1.55019,2.03081,0.7389,0.72477,0.77137,0.4295,1.94809,1.18959,2.06653,0.000836841,0.000836841,0.000836841
86,6257.54,1.95263,1.50479,2.02931,0.75488,0.71561,0.77882,0.43134,1.94227,1.17545,2.05798,0.000833194,0.000833194,0.000833194
87,6329.78,1.94387,1.49774,2.02884,0.75632,0.72907,0.7864,0.43324,1.94606,1.18023,2.05346,0.000829517,0.000829517,0.000829517
88,6402.42,1.96059,1.50393,2.01233,0.76467,0.73078,0.79161,0.43248,1.94333,1.15535,2.04451,0.000825808,0.000825808,0.000825808
89,6474.84,1.93975,1.49284,2.01362,0.72235,0.72566,0.76748,0.41969,1.95278,1.19484,2.07112,0.00082207,0.00082207,0.00082207
90,6547.44,1.92466,1.47716,2.00089,0.75356,0.7536,0.80089,0.44216,1.9304,1.1477,2.05086,0.000818301,0.000818301,0.000818301
91,6620.12,1.92719,1.48228,1.9906,0.75034,0.72445,0.78584,0.43171,1.95155,1.1644,2.06378,0.000814503,0.000814503,0.000814503
92,6692.5,1.92913,1.4922,2.01983,0.80086,0.70803,0.79922,0.44128,1.93606,1.15653,2.06135,0.000810677,0.000810677,0.000810677
93,6764.92,1.93595,1.49403,2.0116,0.79673,0.70269,0.78738,0.43758,1.92082,1.15855,2.04444,0.000806821,0.000806821,0.000806821
94,6837.39,1.92119,1.49092,2.0114,0.77177,0.70774,0.77965,0.42737,1.97065,1.17409,2.08178,0.000802938,0.000802938,0.000802938
95,6909.77,1.90917,1.46305,1.99672,0.79683,0.73186,0.80765,0.44226,1.91217,1.12092,2.04907,0.000799026,0.000799026,0.000799026
96,6981.98,1.92245,1.43832,1.9963,0.78397,0.72346,0.78137,0.42733,1.94221,1.13987,2.05527,0.000795088,0.000795088,0.000795088
97,7054.56,1.91036,1.44421,1.97558,0.80749,0.70864,0.79857,0.43341,1.94829,1.12961,2.06278,0.000791122,0.000791122,0.000791122
98,7127.48,1.91417,1.43539,1.98766,0.76594,0.71304,0.77747,0.42708,1.96292,1.15335,2.06812,0.00078713,0.00078713,0.00078713
99,7199.99,1.89554,1.45366,1.96777,0.76799,0.72144,0.79018,0.44083,1.92901,1.14766,2.05018,0.000783112,0.000783112,0.000783112
100,7272.39,1.8956,1.44223,1.98048,0.78238,0.72666,0.79673,0.44433,1.92819,1.12997,2.04345,0.000779069,0.000779069,0.000779069
101,7344.83,1.91009,1.43794,1.99594,0.77099,0.73325,0.79857,0.44123,1.95202,1.13462,2.07132,0.000775,0.000775,0.000775
102,7417.31,1.88503,1.41543,1.9659,0.81111,0.6972,0.79443,0.43973,1.95308,1.14097,2.05656,0.000770907,0.000770907,0.000770907
103,7489.75,1.90781,1.42376,1.98717,0.7395,0.75189,0.79599,0.44298,1.94371,1.12572,2.04389,0.000766789,0.000766789,0.000766789
104,7562.21,1.88013,1.40201,1.94952,0.7486,0.73196,0.78679,0.43207,1.9445,1.13611,2.04621,0.000762648,0.000762648,0.000762648
