epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.6849,2.1959,3.47849,2.18728,0.15971,0.27315,0.14937,0.06367,1.9708,2.99404,2.05539,0.00033033,0.00033033,0.0672973
2,70.7835,1.97069,2.53904,1.98153,0.43144,0.37786,0.35225,0.15471,1.81483,2.40218,1.89099,0.000663516,0.000663516,0.0342971
3,105.226,1.89276,2.31868,1.88493,0.33151,0.37981,0.29522,0.11705,1.96296,2.90867,1.98341,0.000996112,0.000996112,0.00129641
4,140.048,1.87701,2.24837,1.87411,0.45686,0.42592,0.41184,0.17151,1.8474,2.34463,1.87033,0.000998003,0.000998003,0.000998003
5,174.786,1.83,2.13743,1.8241,0.49018,0.49692,0.48734,0.23177,1.69918,2.16585,1.80727,0.000996452,0.000996452,0.000996452
6,209.284,1.78706,2.01157,1.76092,0.48579,0.46496,0.39875,0.18798,1.73433,2.35224,1.79886,0.00099446,0.00099446,0.00099446
7,244.066,1.7632,1.94172,1.72724,0.57328,0.52409,0.56429,0.28862,1.64589,1.75211,1.71343,0.000992029,0.000992029,0.000992029
8,278.481,1.75207,1.8765,1.71553,0.61974,0.54995,0.59156,0.29867,1.63437,1.70241,1.64069,0.000989163,0.000989163,0.000989163
9,313.195,1.71549,1.81416,1.68586,0.66462,0.57745,0.6292,0.31889,1.60851,1.78659,1.67545,0.000985862,0.000985862,0.000985862
10,347.707,1.7081,1.77615,1.68716,0.52537,0.50363,0.50454,0.25918,1.67229,1.84297,1.69477,0.000982132,0.000982132,0.000982132
11,382.282,1.69013,1.7445,1.65241,0.58342,0.5406,0.55541,0.28233,1.66197,1.85937,1.67972,0.000977975,0.000977975,0.000977975
12,416.655,1.68818,1.72024,1.6589,0.64891,0.59056,0.6187,0.30654,1.64961,1.66089,1.65711,0.000973396,0.000973396,0.000973396
13,451.485,1.65428,1.6645,1.61806,0.67682,0.6389,0.67994,0.35326,1.55923,1.48398,1.57664,0.000968399,0.000968399,0.000968399
14,486.106,1.64662,1.62037,1.61156,0.60968,0.59284,0.61082,0.32364,1.61714,1.62443,1.63443,0.00096299,0.00096299,0.00096299
15,520.974,1.62342,1.56964,1.58861,0.65079,0.61426,0.65632,0.34526,1.5504,1.53693,1.59188,0.000957172,0.000957172,0.000957172
16,555.639,1.60389,1.51021,1.57334,0.7072,0.6679,0.72239,0.38367,1.55859,1.40111,1.57839,0.000950953,0.000950953,0.000950953
17,590.438,1.60029,1.48523,1.56443,0.64718,0.65145,0.67944,0.357,1.59939,1.50371,1.5967,0.000944338,0.000944338,0.000944338
18,625.515,1.59572,1.47852,1.56369,0.60073,0.56681,0.57767,0.30167,1.6304,1.63927,1.63364,0.000937334,0.000937334,0.000937334
19,660.38,1.56966,1.43599,1.54057,0.71347,0.66233,0.71128,0.38162,1.5288,1.43753,1.56763,0.000929948,0.000929948,0.000929948
20,695.076,1.56118,1.41025,1.54183,0.65915,0.60846,0.649,0.34113,1.59706,1.48991,1.61018,0.000922186,0.000922186,0.000922186
21,729.785,1.56104,1.39451,1.53005,0.67514,0.63272,0.69544,0.35579,1.59725,1.41154,1.58334,0.000914058,0.000914058,0.000914058
22,764.338,1.5454,1.36619,1.51952,0.76949,0.61017,0.70888,0.36592,1.60706,1.39374,1.59846,0.00090557,0.00090557,0.00090557
23,798.758,1.53781,1.34954,1.5199,0.80223,0.64329,0.74273,0.39901,1.56103,1.30581,1.56839,0.000896731,0.000896731,0.000896731
24,833.129,1.52365,1.32621,1.4944,0.72634,0.65069,0.72805,0.38575,1.56531,1.32323,1.5677,0.00088755,0.00088755,0.00088755
25,867.479,1.51574,1.30271,1.48762,0.70534,0.67195,0.73071,0.39462,1.53879,1.30798,1.5389,0.000878036,0.000878036,0.000878036
26,901.914,1.48649,1.26893,1.46752,0.69445,0.67284,0.71567,0.37188,1.58023,1.3292,1.58329,0.000868198,0.000868198,0.000868198
27,936.387,1.47733,1.2603,1.45804,0.7155,0.67928,0.7162,0.38643,1.56942,1.29423,1.57714,0.000858046,0.000858046,0.000858046
28,970.771,1.46863,1.21599,1.45413,0.74953,0.67981,0.74831,0.40134,1.57889,1.2604,1.56551,0.00084759,0.00084759,0.00084759
29,1005.14,1.48349,1.20992,1.4683,0.76025,0.6792,0.75486,0.40501,1.58294,1.22164,1.56935,0.000836841,0.000836841,0.000836841
30,1039.73,1.44486,1.17504,1.44225,0.75398,0.65654,0.74291,0.39023,1.58261,1.25255,1.58214,0.000825808,0.000825808,0.000825808
31,1074.12,1.44906,1.14069,1.4282,0.71679,0.66414,0.71415,0.38221,1.60293,1.31704,1.58193,0.000814503,0.000814503,0.000814503
32,1108.59,1.42392,1.1452,1.41602,0.72198,0.62647,0.68975,0.35074,1.66602,1.38159,1.63687,0.000802938,0.000802938,0.000802938
33,1143.25,1.43151,1.12133,1.42004,0.68966,0.71349,0.73356,0.38178,1.6265,1.24581,1.61041,0.000791122,0.000791122,0.000791122
34,1177.71,1.41106,1.07554,1.40453,0.73933,0.65377,0.70897,0.37635,1.62117,1.3007,1.60938,0.000779069,0.000779069,0.000779069
35,1212.2,1.40622,1.08055,1.39908,0.76747,0.67785,0.74821,0.40681,1.54724,1.23332,1.56246,0.000766789,0.000766789,0.000766789
