epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.9095,2.2302,3.63839,2.16671,0.77812,0.08717,0.10191,0.0352,2.13681,3.58304,2.23735,0.00033033,0.00033033,0.0672973
2,94.2459,2.02654,2.54366,1.98837,0.3474,0.53607,0.38887,0.17044,1.79162,2.24839,1.80942,0.000663516,0.000663516,0.0342971
3,129.933,1.93441,2.30909,1.88444,0.27669,0.38504,0.29841,0.13795,1.86538,3.05137,1.8745,0.000996112,0.000996112,0.00129641
4,165.922,1.90898,2.23531,1.84067,0.34908,0.47967,0.36225,0.16604,1.76952,2.55769,1.75681,0.000998003,0.000998003,0.000998003
5,201.474,1.86835,2.13258,1.79182,0.51119,0.47177,0.44699,0.20604,1.78167,2.02975,1.78178,0.000996452,0.000996452,0.000996452
6,237.284,1.83599,2.02996,1.75581,0.57999,0.46552,0.47649,0.21347,1.75253,2.08788,1.72917,0.00099446,0.00099446,0.00099446
7,272.912,1.78441,1.96819,1.72451,0.53337,0.51851,0.52056,0.25057,1.71845,1.91328,1.74831,0.000992029,0.000992029,0.000992029
8,308.66,1.76674,1.90292,1.70369,0.58723,0.53981,0.55477,0.27163,1.68133,1.77067,1.65449,0.000989163,0.000989163,0.000989163
9,344.475,1.75251,1.84695,1.68355,0.57569,0.57106,0.58346,0.2754,1.68664,1.80588,1.65173,0.000985862,0.000985862,0.000985862
10,380.284,1.74378,1.79699,1.68069,0.39692,0.44548,0.39035,0.18756,1.82645,2.27389,1.79276,0.000982132,0.000982132,0.000982132
11,416.102,1.71269,1.7654,1.64409,0.56123,0.55625,0.53853,0.27457,1.67118,1.88187,1.67703,0.000977975,0.000977975,0.000977975
12,452.011,1.72335,1.72902,1.64904,0.64676,0.59909,0.63468,0.3214,1.63611,1.57484,1.5887,0.000973396,0.000973396,0.000973396
13,487.612,1.68749,1.68041,1.62613,0.67103,0.60937,0.66953,0.34187,1.61923,1.46449,1.59803,0.000968399,0.000968399,0.000968399
14,523.276,1.68193,1.6496,1.61472,0.66856,0.6088,0.64135,0.32943,1.57226,1.58154,1.58235,0.00096299,0.00096299,0.00096299
15,559.094,1.65317,1.59094,1.58468,0.67419,0.61982,0.67005,0.34113,1.61022,1.50808,1.59409,0.000957172,0.000957172,0.000957172
16,594.729,1.64051,1.56829,1.57183,0.66488,0.62581,0.65364,0.33591,1.5841,1.53034,1.58632,0.000950953,0.000950953,0.000950953
17,630.513,1.62843,1.54916,1.56496,0.65337,0.61245,0.64848,0.32826,1.64073,1.49722,1.61367,0.000944338,0.000944338,0.000944338
18,666.295,1.63406,1.56588,1.56631,0.62277,0.61134,0.63077,0.33225,1.56514,1.53085,1.56665,0.000937334,0.000937334,0.000937334
19,702.139,1.61374,1.50064,1.54627,0.62121,0.60709,0.62227,0.32289,1.63177,1.53213,1.60235,0.000929948,0.000929948,0.000929948
20,737.932,1.58449,1.46334,1.53133,0.61698,0.59875,0.64025,0.33154,1.61969,1.47804,1.59384,0.000922186,0.000922186,0.000922186
21,773.562,1.60655,1.46053,1.53843,0.64688,0.61457,0.6377,0.32645,1.65142,1.52694,1.61425,0.000914058,0.000914058,0.000914058
22,809.588,1.58113,1.43885,1.52725,0.67244,0.64277,0.69528,0.36212,1.57127,1.39713,1.56117,0.00090557,0.00090557,0.00090557
23,845.233,1.58182,1.42885,1.53521,0.68216,0.59569,0.65322,0.34182,1.65823,1.46168,1.62579,0.000896731,0.000896731,0.000896731
24,880.975,1.57313,1.38084,1.50865,0.72506,0.65188,0.72474,0.38754,1.56475,1.29718,1.54831,0.00088755,0.00088755,0.00088755
25,917.407,1.55087,1.34236,1.49988,0.67765,0.65576,0.71356,0.38235,1.56531,1.32384,1.53193,0.000878036,0.000878036,0.000878036
26,954.07,1.52712,1.30869,1.4806,0.69005,0.66369,0.69544,0.3663,1.59747,1.34262,1.55738,0.000868198,0.000868198,0.000868198
27,990.951,1.52189,1.32427,1.47672,0.77254,0.64664,0.74794,0.40408,1.55915,1.26433,1.57776,0.000858046,0.000858046,0.000858046
28,1028.03,1.51727,1.29321,1.47751,0.78046,0.6678,0.75728,0.40934,1.52851,1.2846,1.53479,0.00084759,0.00084759,0.00084759
29,1065.65,1.51621,1.26697,1.46935,0.67083,0.6883,0.72445,0.39367,1.52192,1.25003,1.50535,0.000836841,0.000836841,0.000836841
30,1103.01,1.49534,1.22974,1.46093,0.69662,0.63274,0.68695,0.36676,1.64724,1.34832,1.58778,0.000825808,0.000825808,0.000825808
31,1140.59,1.49096,1.20677,1.44718,0.69561,0.66146,0.70185,0.37348,1.5873,1.30035,1.55902,0.000814503,0.000814503,0.000814503
32,1177.49,1.47428,1.21214,1.43781,0.74115,0.66714,0.74034,0.38878,1.59156,1.25964,1.57024,0.000802938,0.000802938,0.000802938
33,1214.44,1.47856,1.18979,1.43607,0.73494,0.70487,0.75345,0.40456,1.55402,1.20737,1.54888,0.000791122,0.000791122,0.000791122
34,1251.33,1.4624,1.15992,1.42115,0.71973,0.70322,0.75262,0.41071,1.54968,1.19798,1.52254,0.000779069,0.000779069,0.000779069
35,1288.46,1.44877,1.1344,1.41257,0.73444,0.65239,0.70601,0.38091,1.57917,1.28888,1.56471,0.000766789,0.000766789,0.000766789
36,1325.43,1.43914,1.1286,1.41136,0.74939,0.67114,0.73903,0.39109,1.5857,1.24857,1.54709,0.000754296,0.000754296,0.000754296
37,1362.53,1.44035,1.10212,1.41866,0.76038,0.71816,0.76475,0.4075,1.55958,1.21196,1.54695,0.000741601,0.000741601,0.000741601
38,1399.33,1.41337,1.07592,1.38798,0.77701,0.63874,0.74081,0.39269,1.59105,1.22774,1.56678,0.000728717,0.000728717,0.000728717
39,1435.86,1.42329,1.09674,1.3938,0.73811,0.71078,0.75979,0.40536,1.57338,1.19984,1.54746,0.000715656,0.000715656,0.000715656
40,1471.96,1.40529,1.05615,1.38662,0.77372,0.69659,0.77704,0.41703,1.55299,1.14406,1.54195,0.000702432,0.000702432,0.000702432
41,1508.4,1.40769,1.03965,1.38623,0.74331,0.68166,0.74465,0.40376,1.567,1.20538,1.53268,0.000689058,0.000689058,0.000689058
42,1544.31,1.38013,1.00581,1.36387,0.71432,0.68586,0.7346,0.38525,1.64047,1.22502,1.58322,0.000675546,0.000675546,0.000675546
43,1580.4,1.36799,0.98862,1.35298,0.81594,0.69886,0.78137,0.41053,1.58178,1.15263,1.56788,0.00066191,0.00066191,0.00066191
44,1616.21,1.35523,1.0192,1.34267,0.73319,0.71557,0.76459,0.41339,1.55133,1.13972,1.53081,0.000648164,0.000648164,0.000648164
45,1652.26,1.34187,0.95066,1.33944,0.7075,0.73048,0.76532,0.41191,1.55973,1.14243,1.53872,0.000634322,0.000634322,0.000634322
46,1688.17,1.33182,0.93778,1.32714,0.74365,0.72273,0.77253,0.4107,1.56144,1.13957,1.53282,0.000620396,0.000620396,0.000620396
47,1723.99,1.31675,0.94259,1.32029,0.77292,0.72624,0.77758,0.41877,1.55156,1.11143,1.54409,0.0006064,0.0006064,0.0006064
48,1759.65,1.32122,0.91589,1.31599,0.76775,0.70677,0.76539,0.42194,1.55161,1.10886,1.5364,0.000592349,0.000592349,0.000592349
49,1795.65,1.29301,0.88701,1.29556,0.74598,0.72686,0.75534,0.40301,1.58538,1.12842,1.58216,0.000578256,0.000578256,0.000578256
50,1832.49,1.28882,0.87208,1.29683,0.79416,0.71047,0.78741,0.41966,1.55454,1.07338,1.53968,0.000564135,0.000564135,0.000564135
51,1869.58,1.25529,0.84367,1.2753,0.77411,0.71549,0.76534,0.40815,1.60184,1.10246,1.58927,0.00055,0.00055,0.00055
52,1906.59,1.25923,0.84517,1.27699,0.77325,0.69742,0.75959,0.40242,1.59641,1.14996,1.58552,0.000535865,0.000535865,0.000535865
53,1943.97,1.25653,0.82422,1.2725,0.78144,0.73193,0.79117,0.42225,1.58695,1.07903,1.55643,0.000521744,0.000521744,0.000521744
54,1981,1.22529,0.80958,1.25525,0.76975,0.71434,0.76002,0.4043,1.58829,1.15274,1.57722,0.000507651,0.000507651,0.000507651
55,2017.79,1.22449,0.80042,1.2547,0.77831,0.70835,0.77594,0.41253,1.58915,1.10657,1.57102,0.0004936,0.0004936,0.0004936
56,2054.59,1.22378,0.78956,1.256,0.7838,0.71855,0.78051,0.41565,1.59459,1.08787,1.58576,0.000479604,0.000479604,0.000479604
57,2091.42,1.20543,0.76742,1.23691,0.76685,0.74158,0.78725,0.41966,1.58554,1.06733,1.58315,0.000465678,0.000465678,0.000465678
58,2128.19,1.18525,0.75113,1.22855,0.73545,0.73307,0.77901,0.41716,1.59393,1.064,1.58473,0.000451836,0.000451836,0.000451836
59,2164.93,1.18597,0.76158,1.22612,0.75425,0.73327,0.76592,0.40202,1.62756,1.1084,1.61393,0.00043809,0.00043809,0.00043809
60,2201.46,1.16525,0.74565,1.21505,0.75256,0.72572,0.76334,0.40121,1.61232,1.09328,1.61748,0.000424454,0.000424454,0.000424454
61,2237.8,1.16286,0.72627,1.22586,0.79886,0.70087,0.77154,0.41299,1.58156,1.08606,1.58949,0.000410942,0.000410942,0.000410942
62,2273.99,1.1391,0.70723,1.1956,0.77211,0.72952,0.78091,0.41533,1.61844,1.06615,1.62256,0.000397568,0.000397568,0.000397568
63,2310.5,1.13306,0.69496,1.19356,0.8043,0.73164,0.79173,0.42092,1.60039,1.06424,1.61131,0.000384344,0.000384344,0.000384344
64,2346.78,1.11748,0.70262,1.18466,0.78299,0.71158,0.77157,0.40928,1.60412,1.09982,1.62484,0.000371283,0.000371283,0.000371283
65,2383.45,1.10419,0.67636,1.18302,0.77447,0.73593,0.7735,0.40711,1.63921,1.088,1.63918,0.000358399,0.000358399,0.000358399
66,2419.82,1.09151,0.66589,1.17375,0.75634,0.75234,0.77747,0.41426,1.60308,1.08836,1.60643,0.000345704,0.000345704,0.000345704
67,2456.14,1.08471,0.67811,1.16721,0.76021,0.73189,0.77284,0.4128,1.61183,1.09448,1.62518,0.000333211,0.000333211,0.000333211
68,2492.7,1.06491,0.63172,1.14681,0.77537,0.73486,0.77999,0.41833,1.60529,1.07936,1.63007,0.000320931,0.000320931,0.000320931
69,2529.15,1.05922,0.63261,1.14242,0.78276,0.7134,0.76272,0.40519,1.62347,1.10366,1.64224,0.000308878,0.000308878,0.000308878
70,2565.42,1.04523,0.62047,1.138,0.81504,0.7014,0.79321,0.42112,1.59406,1.05271,1.62272,0.000297062,0.000297062,0.000297062
71,2601.86,1.04132,0.6166,1.13813,0.78288,0.74235,0.78876,0.41659,1.61346,1.05822,1.64145,0.000285497,0.000285497,0.000285497
72,2638.28,1.04094,0.60951,1.12949,0.81407,0.71511,0.77919,0.41315,1.60225,1.07813,1.64189,0.000274192,0.000274192,0.000274192
73,2674.85,1.0349,0.61403,1.13467,0.79634,0.70782,0.77222,0.4055,1.62565,1.09054,1.66373,0.000263159,0.000263159,0.000263159
74,2711.09,0.99889,0.5852,1.11226,0.76361,0.73677,0.77841,0.41195,1.62164,1.06591,1.66529,0.00025241,0.00025241,0.00025241
75,2747.45,1.00225,0.58839,1.11801,0.81306,0.72763,0.78663,0.41477,1.61418,1.08913,1.65456,0.000241954,0.000241954,0.000241954
76,2783.83,0.99104,0.57928,1.10838,0.74767,0.74298,0.77682,0.41,1.61738,1.08577,1.6569,0.000231802,0.000231802,0.000231802
77,2820.08,0.96801,0.56464,1.09545,0.81747,0.70626,0.78537,0.41532,1.6417,1.08281,1.68019,0.000221964,0.000221964,0.000221964
78,2856.83,0.96816,0.56354,1.09976,0.79033,0.73106,0.78244,0.41494,1.62132,1.08326,1.67429,0.00021245,0.00021245,0.00021245
79,2893.32,0.96779,0.56802,1.09629,0.79448,0.71847,0.77316,0.41026,1.63567,1.07781,1.69466,0.000203269,0.000203269,0.000203269
80,2929.43,0.9506,0.54566,1.08772,0.78,0.71131,0.77373,0.40947,1.63737,1.10523,1.67707,0.00019443,0.00019443,0.00019443
81,2965.54,0.93689,0.54817,1.08188,0.77218,0.73412,0.77436,0.40857,1.62317,1.09369,1.68436,0.000185942,0.000185942,0.000185942
82,3001.77,0.9383,0.5439,1.0805,0.79101,0.7073,0.76819,0.40527,1.62258,1.08907,1.68266,0.000177814,0.000177814,0.000177814
83,3037.87,0.92913,0.53219,1.07724,0.8015,0.71172,0.77532,0.40929,1.62453,1.11439,1.68458,0.000170052,0.000170052,0.000170052
84,3073.94,0.92058,0.53627,1.06864,0.81418,0.70026,0.76577,0.40234,1.64147,1.10323,1.70751,0.000162666,0.000162666,0.000162666
85,3110.05,0.90372,0.53013,1.06561,0.78615,0.7123,0.76711,0.40112,1.64624,1.09569,1.71838,0.000155662,0.000155662,0.000155662
86,3146.2,0.93192,0.53004,1.10592,0.83416,0.67796,0.76501,0.39963,1.65857,1.11154,1.72728,0.000149047,0.000149047,0.000149047
87,3182.68,0.89856,0.52191,1.06038,0.77971,0.71098,0.76108,0.40184,1.64772,1.10443,1.71579,0.000142828,0.000142828,0.000142828
88,3218.85,0.89295,0.5286,1.05878,0.81313,0.71358,0.77674,0.41035,1.65298,1.09714,1.72819,0.00013701,0.00013701,0.00013701
89,3255.18,0.88845,0.52269,1.05799,0.80677,0.71302,0.77289,0.40392,1.65336,1.09977,1.73093,0.000131601,0.000131601,0.000131601
