epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.1908,2.17623,3.2576,2.13137,0.16683,0.24897,0.11246,0.04651,2.05823,4.06594,2.12211,0.000199095,0.000199095,0.0802896
2,87.9739,2.02222,2.55561,1.96136,0.23924,0.35191,0.22485,0.08511,1.98791,3.43153,1.96985,0.000399085,0.000399085,0.0604896
3,122.224,2.01638,2.4278,1.93768,0.35825,0.4367,0.3813,0.15615,1.90474,2.60733,1.8974,0.000599036,0.000599036,0.0406895
4,156.087,2.00124,2.37396,1.91031,0.39171,0.44597,0.34995,0.15009,1.91413,2.27882,1.88723,0.000798918,0.000798918,0.0208894
5,190.234,1.95331,2.28974,1.87617,0.42593,0.37665,0.3735,0.1499,1.82083,2.25927,1.83869,0.000998701,0.000998701,0.0010892
6,224.068,1.91748,2.21038,1.84412,0.50467,0.49547,0.4949,0.20749,1.79773,2.22266,1.78377,0.000999383,0.000999383,0.000999383
7,258.106,1.85997,2.11169,1.78927,0.47304,0.4707,0.44314,0.18555,1.79574,2.17148,1.78629,0.000999112,0.000999112,0.000999112
8,291.877,1.8469,2.05037,1.76238,0.54036,0.53551,0.50728,0.22274,1.75284,2.02735,1.71477,0.000998792,0.000998792,0.000998792
9,325.912,1.81739,1.99994,1.75345,0.56181,0.5299,0.55562,0.26928,1.66839,1.85814,1.68549,0.000998422,0.000998422,0.000998422
10,360.556,1.82133,1.95142,1.74111,0.49708,0.53051,0.50447,0.23019,1.73086,2.00449,1.70341,0.000998003,0.000998003,0.000998003
11,394.501,1.79273,1.87402,1.71407,0.54794,0.60401,0.57735,0.28017,1.67829,1.72291,1.65642,0.000997535,0.000997535,0.000997535
12,428.411,1.76566,1.85113,1.70995,0.56636,0.56105,0.57475,0.2645,1.71846,1.84636,1.6912,0.000997018,0.000997018,0.000997018
13,462.068,1.76918,1.82965,1.69033,0.58518,0.58463,0.60152,0.29517,1.66214,1.65606,1.65506,0.000996452,0.000996452,0.000996452
14,496.073,1.74711,1.79862,1.68665,0.63795,0.58771,0.61934,0.27855,1.74493,1.65729,1.69527,0.000995837,0.000995837,0.000995837
15,529.932,1.7337,1.7571,1.66719,0.60497,0.62234,0.6231,0.28605,1.69978,1.70348,1.67047,0.000995173,0.000995173,0.000995173
16,563.851,1.71102,1.70125,1.65086,0.68056,0.59466,0.64699,0.32762,1.61299,1.57954,1.61728,0.00099446,0.00099446,0.00099446
17,597.731,1.70245,1.6776,1.65444,0.66921,0.62987,0.68621,0.35434,1.57012,1.47361,1.60617,0.000993698,0.000993698,0.000993698
18,631.586,1.69979,1.68077,1.64904,0.63851,0.62021,0.64715,0.32379,1.59101,1.57698,1.61951,0.000992888,0.000992888,0.000992888
19,665.354,1.70208,1.63987,1.63834,0.69563,0.65913,0.71981,0.36304,1.61698,1.47474,1.60069,0.000992029,0.000992029,0.000992029
20,699.364,1.683,1.61874,1.62719,0.6199,0.66392,0.65571,0.3228,1.65125,1.48985,1.63666,0.000991122,0.000991122,0.000991122
21,733.71,1.67951,1.60345,1.61593,0.66989,0.66075,0.71645,0.37048,1.56322,1.40762,1.57824,0.000990166,0.000990166,0.000990166
