epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1892.75,1.4091,1.11933,1.3862,0.71162,0.65651,0.72093,0.38244,1.57899,1.26401,1.55126,0.000675546,0.000675546,0.000675546
43,1938.1,1.40625,1.10862,1.36855,0.68036,0.69304,0.70571,0.38198,1.56151,1.24927,1.52864,0.00066191,0.00066191,0.00066191
44,1982.98,1.37297,1.07916,1.3619,0.68972,0.69035,0.72803,0.39778,1.57289,1.21254,1.54886,0.000648164,0.000648164,0.000648164
45,2028.3,1.38607,1.03407,1.36442,0.71889,0.63284,0.69633,0.3705,1.60001,1.27946,1.56653,0.000634322,0.000634322,0.000634322
46,2073.49,1.37783,1.01941,1.35086,0.69622,0.66593,0.71437,0.37941,1.58794,1.23962,1.54433,0.000620396,0.000620396,0.000620396
47,2118.46,1.3823,1.01328,1.35297,0.74154,0.6849,0.73669,0.40879,1.56174,1.18078,1.52727,0.0006064,0.0006064,0.0006064
48,2163.33,1.36087,0.97881,1.33776,0.74151,0.67838,0.72672,0.39335,1.55693,1.21766,1.52482,0.000592349,0.000592349,0.000592349
49,2208.55,1.33551,0.99311,1.32126,0.73504,0.65179,0.71073,0.38085,1.60269,1.21415,1.56137,0.000578256,0.000578256,0.000578256
50,2254.07,1.3346,0.95084,1.31475,0.72829,0.64629,0.70919,0.39275,1.57736,1.24295,1.53456,0.000564135,0.000564135,0.000564135
51,2299.42,1.32344,0.94056,1.30757,0.73341,0.6808,0.73114,0.39534,1.59177,1.20001,1.55478,0.00055,0.00055,0.00055
52,2344.45,1.32092,0.91141,1.31845,0.74625,0.66091,0.73004,0.3987,1.58589,1.20539,1.55755,0.000535865,0.000535865,0.000535865
53,2389.38,1.30165,0.89779,1.30149,0.76249,0.65828,0.73092,0.38973,1.61371,1.1975,1.5629,0.000521744,0.000521744,0.000521744
54,2434.11,1.2768,0.8808,1.29496,0.72967,0.69306,0.73549,0.39866,1.62199,1.17104,1.60509,0.000507651,0.000507651,0.000507651
55,2479.13,1.27638,0.85044,1.29296,0.71507,0.67102,0.7262,0.39406,1.60147,1.19933,1.57155,0.0004936,0.0004936,0.0004936
56,2524.32,1.27386,0.8342,1.28958,0.76227,0.69998,0.74903,0.40342,1.63124,1.1284,1.58379,0.000479604,0.000479604,0.000479604
57,2569.55,1.25746,0.81267,1.27234,0.72935,0.69448,0.73579,0.39636,1.60008,1.16023,1.58153,0.000465678,0.000465678,0.000465678
58,2614.43,1.22702,0.80728,1.26604,0.71875,0.71334,0.73531,0.40326,1.59037,1.14898,1.57731,0.000451836,0.000451836,0.000451836
59,2659.05,1.24884,0.81262,1.26743,0.71341,0.71016,0.73438,0.39428,1.59949,1.17152,1.57388,0.00043809,0.00043809,0.00043809
60,2703.77,1.23031,0.81603,1.25803,0.71762,0.69271,0.73049,0.40471,1.57516,1.16933,1.56031,0.000424454,0.000424454,0.000424454
61,2748.37,1.21816,0.76003,1.25476,0.72515,0.71543,0.74196,0.40567,1.60168,1.14771,1.58092,0.000410942,0.000410942,0.000410942
62,2793.16,1.20205,0.74647,1.24144,0.72561,0.70054,0.74004,0.40069,1.60666,1.18019,1.59937,0.000397568,0.000397568,0.000397568
63,2838.28,1.20567,0.71754,1.23975,0.75316,0.69414,0.75516,0.41182,1.60533,1.11606,1.58898,0.000384344,0.000384344,0.000384344
64,2883.74,1.18353,0.73581,1.23322,0.74588,0.71507,0.74306,0.40918,1.60594,1.15266,1.57769,0.000371283,0.000371283,0.000371283
65,2929.08,1.15054,0.71746,1.21313,0.7315,0.69877,0.73575,0.3944,1.64133,1.15678,1.62359,0.000358399,0.000358399,0.000358399
66,2974.09,1.15495,0.68027,1.22017,0.73058,0.70128,0.7377,0.4042,1.62459,1.18088,1.61625,0.000345704,0.000345704,0.000345704
67,3019.04,1.14994,0.69238,1.21399,0.7747,0.68346,0.73893,0.40229,1.62497,1.16985,1.61575,0.000333211,0.000333211,0.000333211
68,3063.91,1.11809,0.65973,1.19296,0.72946,0.70777,0.74016,0.4078,1.6131,1.13648,1.62235,0.000320931,0.000320931,0.000320931
69,3109.22,1.13099,0.65168,1.18947,0.77947,0.67304,0.73652,0.39866,1.63703,1.15353,1.63431,0.000308878,0.000308878,0.000308878
70,3154.62,1.10951,0.62369,1.18446,0.75758,0.70352,0.75897,0.40683,1.63189,1.11603,1.6221,0.000297062,0.000297062,0.000297062
71,3199.97,1.09354,0.63686,1.17515,0.76464,0.69322,0.75046,0.40683,1.62407,1.13873,1.62897,0.000285497,0.000285497,0.000285497
72,3245.17,1.08243,0.61736,1.17151,0.72776,0.70874,0.73492,0.40232,1.64341,1.16342,1.64984,0.000274192,0.000274192,0.000274192
73,3290.36,1.08299,0.63316,1.17457,0.74802,0.69834,0.73218,0.401,1.63243,1.15311,1.64828,0.000263159,0.000263159,0.000263159
74,3335.48,1.05762,0.58713,1.16302,0.71266,0.71252,0.7318,0.39958,1.62956,1.1808,1.64586,0.00025241,0.00025241,0.00025241
75,3380.51,1.05141,0.58851,1.1557,0.70822,0.71489,0.73003,0.39916,1.63945,1.15847,1.65508,0.000241954,0.000241954,0.000241954
76,3425.65,1.05359,0.58665,1.15756,0.76164,0.6866,0.72552,0.39885,1.64434,1.18503,1.66359,0.000231802,0.000231802,0.000231802
77,3470.7,1.03763,0.57277,1.14343,0.76096,0.70407,0.73842,0.40644,1.64986,1.13053,1.66204,0.000221964,0.000221964,0.000221964
78,3515.74,1.0209,0.56692,1.13911,0.74445,0.69723,0.73029,0.40063,1.65402,1.14556,1.65538,0.00021245,0.00021245,0.00021245
79,3560.84,1.03119,0.55673,1.14354,0.73659,0.70198,0.73282,0.39934,1.65069,1.18065,1.66806,0.000203269,0.000203269,0.000203269
80,3605.64,1.01571,0.54475,1.13246,0.75137,0.69801,0.72756,0.40255,1.63612,1.17978,1.66686,0.00019443,0.00019443,0.00019443
81,3650.6,1.00203,0.56647,1.1248,0.74222,0.68807,0.72718,0.39225,1.66927,1.14287,1.69567,0.000185942,0.000185942,0.000185942
82,3695.43,1.00246,0.55103,1.12856,0.76983,0.68045,0.72669,0.39874,1.64062,1.18574,1.68071,0.000177814,0.000177814,0.000177814
83,3740.86,0.99817,0.53133,1.12564,0.76403,0.67519,0.72079,0.39627,1.6431,1.19621,1.69021,0.000170052,0.000170052,0.000170052
